Ticker,Metric,Filed_Date,Period_End,Value,Form
BRK-A,NetIncome,2013-03-01,2012-12-31,14824000000.0,10-K
BRK-A,NetIncome,2014-03-03,2012-12-31,14824000000.0,10-K
BRK-A,NetIncome,2015-03-02,2012-12-31,14824000000.0,10-K
BRK-A,NetIncome,2013-03-01,2012-12-31,4551000000.0,10-K
BRK-A,NetIncome,2014-03-03,2012-12-31,4551000000.0,10-K
BRK-A,NetIncome,2013-05-03,2013-03-31,4892000000.0,10-Q
BRK-A,NetIncome,2014-03-03,2013-03-31,4892000000.0,10-K
BRK-A,NetIncome,2014-05-02,2013-03-31,4892000000.0,10-Q
BRK-A,NetIncome,2015-03-02,2013-03-31,4892000000.0,10-K
BRK-A,NetIncome,2013-08-02,2013-06-30,9433000000.0,10-Q
BRK-A,NetIncome,2014-08-01,2013-06-30,9433000000.0,10-Q
BRK-A,NetIncome,2013-08-02,2013-06-30,4541000000.0,10-Q
BRK-A,NetIncome,2014-03-03,2013-06-30,4541000000.0,10-K
BRK-A,NetIncome,2014-08-01,2013-06-30,4541000000.0,10-Q
BRK-A,NetIncome,2015-03-02,2013-06-30,4541000000.0,10-K
BRK-A,NetIncome,2013-11-01,2013-09-30,14486000000.0,10-Q
BRK-A,NetIncome,2014-11-07,2013-09-30,14486000000.0,10-Q
BRK-A,NetIncome,2013-11-01,2013-09-30,5053000000.0,10-Q
BRK-A,NetIncome,2014-03-03,2013-09-30,5053000000.0,10-K
BRK-A,NetIncome,2014-11-07,2013-09-30,5053000000.0,10-Q
BRK-A,NetIncome,2015-03-02,2013-09-30,5053000000.0,10-K
BRK-A,NetIncome,2014-03-03,2013-12-31,19476000000.0,10-K
BRK-A,NetIncome,2015-03-02,2013-12-31,19476000000.0,10-K
BRK-A,NetIncome,2016-02-29,2013-12-31,19476000000.0,10-K
BRK-A,NetIncome,2014-03-03,2013-12-31,4990000000.0,10-K
BRK-A,NetIncome,2015-03-02,2013-12-31,4990000000.0,10-K
BRK-A,NetIncome,2014-05-02,2014-03-31,4705000000.0,10-Q
BRK-A,NetIncome,2015-03-02,2014-03-31,4705000000.0,10-K
BRK-A,NetIncome,2015-05-01,2014-03-31,4705000000.0,10-Q
BRK-A,NetIncome,2016-02-29,2014-03-31,4705000000.0,10-K
BRK-A,NetIncome,2014-08-01,2014-06-30,11100000000.0,10-Q
BRK-A,NetIncome,2015-08-07,2014-06-30,11100000000.0,10-Q
BRK-A,NetIncome,2014-08-01,2014-06-30,6395000000.0,10-Q
BRK-A,NetIncome,2015-03-02,2014-06-30,6395000000.0,10-K
BRK-A,NetIncome,2015-08-07,2014-06-30,6395000000.0,10-Q
BRK-A,NetIncome,2016-02-29,2014-06-30,6395000000.0,10-K
BRK-A,NetIncome,2014-11-07,2014-09-30,15717000000.0,10-Q
BRK-A,NetIncome,2015-11-06,2014-09-30,15717000000.0,10-Q
BRK-A,NetIncome,2014-11-07,2014-09-30,4617000000.0,10-Q
BRK-A,NetIncome,2015-03-02,2014-09-30,4617000000.0,10-K
BRK-A,NetIncome,2015-11-06,2014-09-30,4617000000.0,10-Q
BRK-A,NetIncome,2016-02-29,2014-09-30,4617000000.0,10-K
BRK-A,NetIncome,2015-03-02,2014-12-31,19872000000.0,10-K
BRK-A,NetIncome,2016-02-29,2014-12-31,19872000000.0,10-K
BRK-A,NetIncome,2015-03-02,2014-12-31,4155000000.0,10-K
BRK-A,NetIncome,2016-02-29,2014-12-31,4155000000.0,10-K
BRK-A,NetIncome,2015-05-01,2015-03-31,5164000000.0,10-Q
BRK-A,NetIncome,2016-02-29,2015-03-31,5164000000.0,10-K
BRK-A,NetIncome,2016-05-06,2015-03-31,5164000000.0,10-Q
BRK-A,NetIncome,2015-08-07,2015-06-30,9177000000.0,10-Q
BRK-A,NetIncome,2015-08-07,2015-06-30,4013000000.0,10-Q
BRK-A,NetIncome,2016-02-29,2015-06-30,4013000000.0,10-K
BRK-A,NetIncome,2015-11-06,2015-09-30,18605000000.0,10-Q
BRK-A,NetIncome,2015-11-06,2015-09-30,9428000000.0,10-Q
BRK-A,NetIncome,2016-02-29,2015-09-30,9428000000.0,10-K
BRK-A,NetIncome,2016-02-29,2015-12-31,24083000000.0,10-K
BRK-A,NetIncome,2016-02-29,2015-12-31,5478000000.0,10-K
BRK-A,NetIncome,2016-05-06,2016-03-31,5589000000.0,10-Q
BRK-A,TotalAssets,2013-03-01,2010-12-31,372229000000.0,10-K
BRK-A,TotalAssets,2013-03-01,2011-12-31,392647000000.0,10-K
BRK-A,TotalAssets,2014-03-03,2011-12-31,392647000000.0,10-K
BRK-A,TotalAssets,2013-03-01,2012-12-31,427452000000.0,10-K
BRK-A,TotalAssets,2013-05-03,2012-12-31,427452000000.0,10-Q
BRK-A,TotalAssets,2013-08-02,2012-12-31,427452000000.0,10-Q
BRK-A,TotalAssets,2013-11-01,2012-12-31,427452000000.0,10-Q
BRK-A,TotalAssets,2014-03-03,2012-12-31,427452000000.0,10-K
BRK-A,TotalAssets,2015-03-02,2012-12-31,427452000000.0,10-K
BRK-A,TotalAssets,2013-05-03,2013-03-31,442302000000.0,10-Q
BRK-A,TotalAssets,2013-08-02,2013-06-30,446563000000.0,10-Q
BRK-A,TotalAssets,2013-11-01,2013-09-30,458081000000.0,10-Q
BRK-A,TotalAssets,2014-03-03,2013-12-31,484931000000.0,10-K
BRK-A,TotalAssets,2014-05-02,2013-12-31,484931000000.0,10-Q
BRK-A,TotalAssets,2014-08-01,2013-12-31,484931000000.0,10-Q
BRK-A,TotalAssets,2014-11-07,2013-12-31,484931000000.0,10-Q
BRK-A,TotalAssets,2015-03-02,2013-12-31,484931000000.0,10-K
BRK-A,TotalAssets,2016-02-29,2013-12-31,484624000000.0,10-K
BRK-A,TotalAssets,2014-05-02,2014-03-31,494944000000.0,10-Q
BRK-A,TotalAssets,2014-08-01,2014-06-30,504379000000.0,10-Q
BRK-A,TotalAssets,2014-11-07,2014-09-30,517363000000.0,10-Q
BRK-A,TotalAssets,2015-03-02,2014-12-31,526186000000.0,10-K
BRK-A,TotalAssets,2015-05-01,2014-12-31,526186000000.0,10-Q
BRK-A,TotalAssets,2015-08-07,2014-12-31,526186000000.0,10-Q
BRK-A,TotalAssets,2015-11-06,2014-12-31,526186000000.0,10-Q
BRK-A,TotalAssets,2016-02-29,2014-12-31,525867000000.0,10-K
